epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,868.467,1.15639,3.37091,1.57723,0.63687,0.34021,0.32825,0.22494,1.17426,3.64407,1.62593,0.000205761,0.000205761,0.000205761
2,1707.23,1.15025,2.31441,1.53382,0.48416,0.50394,0.4553,0.23536,1.52007,4.06606,1.98373,0.000405896,0.000405896,0.000405896
3,2565.56,1.15397,2.08906,1.53226,0.63541,0.624,0.57358,0.33468,1.51538,3.13971,1.9671,0.00059778,0.00059778,0.00059778
4,3342.1,1.17958,2.02244,1.53697,0.68216,0.55301,0.5834,0.35791,1.53488,3.06578,2.00116,0.000587875,0.000587875,0.000587875
5,4138.8,1.15048,1.85409,1.51312,0.75814,0.55901,0.60938,0.37927,1.45337,2.62655,1.92384,0.0005755,0.0005755,0.0005755
6,4948.49,1.11962,1.73939,1.50586,0.76348,0.56768,0.64435,0.43025,1.4011,2.29846,1.8444,0.000563125,0.000563125,0.000563125
7,5776.35,1.08931,1.66081,1.46871,0.86677,0.59207,0.66917,0.43097,1.45491,2.31394,1.89628,0.00055075,0.00055075,0.00055075
8,6605,1.094,1.59635,1.45532,0.7713,0.65102,0.68488,0.4485,1.38232,2.06687,1.80091,0.000538375,0.000538375,0.000538375
9,7488.4,1.07458,1.46002,1.44495,0.81525,0.64191,0.70726,0.50285,1.29051,1.83232,1.69373,0.000526,0.000526,0.000526
10,8258.85,1.05196,1.4414,1.42862,0.78873,0.65294,0.70284,0.49471,1.26084,1.86615,1.69061,0.000513625,0.000513625,0.000513625
11,9083.26,1.02039,1.34486,1.39588,0.63362,0.67745,0.71154,0.47547,1.33094,1.82467,1.71365,0.00050125,0.00050125,0.00050125
12,9815.73,1.04047,1.35067,1.41168,0.68901,0.68863,0.72519,0.50047,1.30971,1.76614,1.73021,0.000488875,0.000488875,0.000488875
13,10526.1,0.98945,1.26579,1.37115,0.74802,0.71436,0.75788,0.52447,1.24891,1.55323,1.64223,0.0004765,0.0004765,0.0004765
14,11241.8,0.98739,1.21631,1.37814,0.74957,0.68247,0.73247,0.52032,1.21435,1.59264,1.62211,0.000464125,0.000464125,0.000464125
15,11969.2,0.96362,1.18602,1.35403,0.72531,0.685,0.72776,0.5329,1.22214,1.51486,1.64061,0.00045175,0.00045175,0.00045175
16,12685.4,0.94792,1.15517,1.35412,0.73498,0.7258,0.7637,0.56413,1.19382,1.46806,1.61956,0.000439375,0.000439375,0.000439375
17,13410.9,0.93021,1.10157,1.33122,0.7748,0.73601,0.7708,0.54437,1.27466,1.40886,1.64614,0.000427,0.000427,0.000427
18,14121.3,0.9185,1.07359,1.32482,0.75198,0.71508,0.74389,0.51656,1.32086,1.46679,1.70814,0.000414625,0.000414625,0.000414625
19,14847.1,0.91024,1.06376,1.32996,0.69876,0.69731,0.72425,0.49727,1.26844,1.49761,1.67107,0.00040225,0.00040225,0.00040225
20,15573,0.90961,1.02463,1.32007,0.71255,0.70987,0.74568,0.52077,1.29927,1.42504,1.67624,0.000389875,0.000389875,0.000389875
21,16292,0.8917,0.99886,1.29768,0.71474,0.71836,0.75035,0.53583,1.20376,1.36158,1.59383,0.0003775,0.0003775,0.0003775
22,17020.7,0.86761,0.96939,1.29731,0.72308,0.717,0.74906,0.5551,1.22186,1.33384,1.62409,0.000365125,0.000365125,0.000365125
23,17741.8,0.88937,0.98609,1.29683,0.76031,0.67543,0.74927,0.55078,1.19002,1.35304,1.5723,0.00035275,0.00035275,0.00035275
24,18472.9,0.84328,0.93694,1.27031,0.75898,0.67426,0.75844,0.56078,1.16984,1.31489,1.56458,0.000340375,0.000340375,0.000340375
25,19207.5,0.85004,0.90446,1.26341,0.76322,0.72056,0.75985,0.53114,1.22197,1.25106,1.64054,0.000328,0.000328,0.000328
26,19927.7,0.82624,0.90709,1.25099,0.72697,0.69826,0.74311,0.53032,1.20147,1.32827,1.60173,0.000315625,0.000315625,0.000315625
27,20658.3,0.81122,0.8682,1.24764,0.72452,0.74459,0.75697,0.55403,1.16032,1.19061,1.5851,0.00030325,0.00030325,0.00030325
28,21388.3,0.82471,0.86267,1.24898,0.74189,0.70699,0.7499,0.54632,1.20463,1.19889,1.5959,0.000290875,0.000290875,0.000290875
29,22120.1,0.7936,0.85106,1.23175,0.76062,0.71271,0.74889,0.54716,1.19795,1.22191,1.57137,0.0002785,0.0002785,0.0002785
30,22849.3,0.78516,0.81684,1.22421,0.71014,0.71965,0.74667,0.55359,1.19859,1.25164,1.58758,0.000266125,0.000266125,0.000266125
31,23574.2,0.78859,0.80563,1.22293,0.75785,0.74978,0.77434,0.57767,1.13676,1.17614,1.5585,0.00025375,0.00025375,0.00025375
32,24308.3,0.76035,0.77914,1.20641,0.76558,0.74783,0.78244,0.57921,1.09837,1.11853,1.52204,0.000241375,0.000241375,0.000241375
33,25038,0.77293,0.80611,1.21243,0.76118,0.73302,0.78413,0.57499,1.13555,1.10352,1.53067,0.000229,0.000229,0.000229
34,25762.9,0.72669,0.76215,1.2026,0.7828,0.75876,0.80257,0.60763,1.10557,1.03627,1.51856,0.000216625,0.000216625,0.000216625
35,26498.3,0.74056,0.74687,1.191,0.74194,0.7358,0.77759,0.58803,1.13221,1.09357,1.54239,0.00020425,0.00020425,0.00020425
36,27224.2,0.72995,0.73638,1.18152,0.75053,0.75278,0.77973,0.59775,1.12162,1.0534,1.5333,0.000191875,0.000191875,0.000191875
37,27981.2,0.72803,0.75912,1.19377,0.76923,0.73148,0.77467,0.59202,1.1242,1.06826,1.55067,0.0001795,0.0001795,0.0001795
38,28725.5,0.72182,0.71138,1.17586,0.78756,0.73405,0.78015,0.59541,1.13152,1.09385,1.54879,0.000167125,0.000167125,0.000167125
39,29455.9,0.68903,0.71035,1.16789,0.748,0.73344,0.76272,0.58422,1.12397,1.08816,1.52941,0.00015475,0.00015475,0.00015475
40,30198.4,0.70053,0.70228,1.16872,0.73112,0.75586,0.77036,0.58198,1.12286,1.0715,1.53565,0.000142375,0.000142375,0.000142375
41,30933.4,0.64741,0.64053,1.17767,0.70368,0.75657,0.76492,0.58098,1.11074,1.08005,1.52476,0.00013,0.00013,0.00013
42,31873.4,0.59842,0.5615,1.15897,0.74845,0.76379,0.77466,0.59038,1.07273,1.02974,1.4981,0.000117625,0.000117625,0.000117625
43,32570,0.56952,0.51842,1.11633,0.7964,0.74192,0.78505,0.59732,1.06639,1.0182,1.49962,0.00010525,0.00010525,0.00010525
44,33269.6,0.56293,0.51829,1.11056,0.77887,0.74049,0.79284,0.60673,1.05264,0.98816,1.48883,9.2875e-05,9.2875e-05,9.2875e-05
45,33965,0.56629,0.51079,1.11703,0.79276,0.74271,0.79138,0.60089,1.06571,1.01153,1.49086,8.05e-05,8.05e-05,8.05e-05
46,34669.2,0.54342,0.50082,1.10172,0.75648,0.76757,0.78794,0.60008,1.06127,1.0215,1.49898,6.8125e-05,6.8125e-05,6.8125e-05
47,35370.1,0.53622,0.49028,1.09334,0.7866,0.7321,0.78849,0.60729,1.07087,1.01517,1.49223,5.575e-05,5.575e-05,5.575e-05
48,36061.1,0.51861,0.46287,1.07534,0.79505,0.75207,0.79088,0.60754,1.05816,0.98719,1.50192,4.3375e-05,4.3375e-05,4.3375e-05
49,36768.2,0.51222,0.4678,1.07353,0.7849,0.75366,0.79225,0.60822,1.05391,0.99215,1.49364,3.1e-05,3.1e-05,3.1e-05
50,37462.6,0.50086,0.46407,1.07075,0.77886,0.75935,0.79309,0.60935,1.05525,0.97461,1.50423,1.8625e-05,1.8625e-05,1.8625e-05
